Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",126.885000,-112.390000,180.000000,top
"C2","1u","C_0603_1608Metric",151.390000,-52.480000,-90.000000,top
"C3","1u","C_0603_1608Metric",151.390000,-68.256000,-90.000000,top
"C4","1u","C_0603_1608Metric",151.390000,-84.032000,-90.000000,top
"C5","1u","C_0603_1608Metric",151.390000,-99.808000,-90.000000,top
"C6","47u","C_1206_3216Metric",154.080000,-65.910000,-90.000000,top
"C7","47u","C_1206_3216Metric",154.330000,-98.050000,-90.000000,top
"C8","47u","C_1206_3216Metric",154.220000,-82.220000,-90.000000,top
"C10","100n","C_0603_1608Metric",145.130000,-52.470000,-90.000000,top
"C11","100n","C_0603_1608Metric",145.130000,-68.280000,-90.000000,top
"C12","100n","C_0603_1608Metric",145.130000,-84.010000,-90.000000,top
"C13","100n","C_0603_1608Metric",145.130000,-99.790000,-90.000000,top
"C14","1u","C_0603_1608Metric",151.390000,-56.424000,-90.000000,top
"C15","1u","C_0603_1608Metric",151.390000,-72.200000,-90.000000,top
"C16","1u","C_0603_1608Metric",151.390000,-87.976000,-90.000000,top
"C17","1u","C_0603_1608Metric",151.390000,-103.752000,-90.000000,top
"C18","100n","C_0603_1608Metric",118.985000,-101.030000,180.000000,top
"C19","100n","C_0603_1608Metric",141.695000,-92.450000,180.000000,top
"C20","100n","C_0603_1608Metric",145.130000,-56.430000,-90.000000,top
"C21","100n","C_0603_1608Metric",145.130000,-72.260000,-90.000000,top
"C22","100n","C_0603_1608Metric",145.130000,-87.800000,-90.000000,top
"C23","100n","C_0603_1608Metric",145.130000,-103.715000,-90.000000,top
"C24","1u","C_0603_1608Metric",151.390000,-60.368000,-90.000000,top
"C25","1u","C_0603_1608Metric",151.390000,-76.144000,-90.000000,top
"C26","1u","C_0603_1608Metric",151.390000,-91.920000,-90.000000,top
"C27","1u","C_0603_1608Metric",151.390000,-107.696000,-90.000000,top
"C28","100n","C_0603_1608Metric",145.130000,-60.350000,-90.000000,top
"C29","100n","C_0603_1608Metric",145.130000,-76.070000,-90.000000,top
"C30","100n","C_0603_1608Metric",145.130000,-91.965000,-90.000000,top
"C31","100n","C_0603_1608Metric",145.130000,-107.625000,-90.000000,top
"C32","100n","C_0603_1608Metric",112.015000,-89.050000,180.000000,top
"C33","1u","C_0603_1608Metric",151.390000,-64.312000,-90.000000,top
"C34","1u","C_0603_1608Metric",151.390000,-80.088000,-90.000000,top
"C35","1u","C_0603_1608Metric",151.390000,-95.864000,-90.000000,top
"C36","1u","C_0603_1608Metric",151.390000,-111.640000,-90.000000,top
"C37","100n","C_0603_1608Metric",145.130000,-64.285000,-90.000000,top
"C38","100n","C_0603_1608Metric",145.130000,-80.035000,-90.000000,top
"C39","100n","C_0603_1608Metric",145.130000,-95.925000,-90.000000,top
"C40","100n","C_0603_1608Metric",145.130000,-111.640000,-90.000000,top
"H100","MountingHole","Mounting_Wuerth_WA-SMSE-ExternalM3_H5mm_9771050360",157.500000,-74.000000,0.000000,top
"H101","MountingHole","Mounting_Wuerth_WA-SMSE-ExternalM3_H5mm_9771050360",157.500000,-90.000000,0.000000,top
"H102","MountingHole","Mounting_Wuerth_WA-SMSE-ExternalM3_H5mm_9771050360",106.500000,-74.000000,0.000000,top
"H103","MountingHole","Mounting_Wuerth_WA-SMSE-ExternalM3_H5mm_9771050360",106.500000,-90.000000,0.000000,top
"IC1","STP16CPC26PTR","SOP64P600X173-24N",132.550000,-108.150000,180.000000,top
"IC2","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-52.460000,0.000000,top
"IC3","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-68.244000,0.000000,top
"IC4","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-84.028000,0.000000,top
"IC5","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-99.812000,0.000000,top
"IC6","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-56.406000,0.000000,top
"IC7","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-72.190000,0.000000,top
"IC8","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-87.974000,0.000000,top
"IC9","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-103.758000,0.000000,top
"IC10","STP16CPC26PTR","SOP64P600X173-24N",124.776000,-96.842000,180.000000,top
"IC11","74HC4514PW,118","SOP65P640X110-24N",139.315000,-86.312000,-90.000000,top
"IC12","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-60.352000,0.000000,top
"IC13","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-76.136000,0.000000,top
"IC14","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-91.920000,0.000000,top
"IC15","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-107.704000,0.000000,top
"IC16","STP16CPC26PTR","SOP64P600X173-24N",117.386000,-85.702000,180.000000,top
"IC17","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-64.298000,0.000000,top
"IC18","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-80.082000,0.000000,top
"IC19","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-95.866000,0.000000,top
"IC20","AP2281-3WG-7","SOT95P285X140-6N",148.260000,-111.650000,0.000000,top
"J1","~","CNC_TECH_SMD_10POS",121.010000,-58.890000,-90.000000,top
"R1","4.12k","R_0603_1608Metric",126.915000,-110.820000,180.000000,top
"R2","4.12k","R_0603_1608Metric",119.000000,-99.420000,180.000000,top
"R3","4.12k","R_0603_1608Metric",112.015000,-87.390000,180.000000,top
